title,donor/recipient
[Let's talk about NATO's Kvemo-Kartli region],Lithuania/Georgia
let's learn to produce efficiently,Hungary/Serbia and Montenegro
Let's get to know each other... My name is Afghanistan,Estonia/Afghanistan
Lesotho's program for scaling-up HIV/AIDS prevention,GFATM/Lesotho
Lesotho National Development Corporation Project (02),IDA/Lesotho
Lesotho Highlands Water Project - Phase 1A,IBRD/Lesotho
Lesotho Agricultural Development Bank,BADEA/Lesotho
Leshan Scana Machinery Company Limited,NDF/China
Leshan Scana Machinery Co.,IFC/China
Lesedi Private Hospital (Proprietary) Limited will establish a 9-bed ICU facility in its existing hospital to become 1 of 2 hospitals in Soweto with an ICU (AEF).,IFC/South Africa
Lery Water Structures Rehabilitation Study,AFDF/Burkina Faso
Leribe-Buthabuthe-Joel's Drift Road,AFDF/Lesotho
Lepar Ultara Land Settlement,Saudi Arabia/Malaysia
Lenta II,EBRD/Russia
Lenta Hypermarkets III,EBRD/Russia
Lenta,EBRD/Russia
Lenenergo,EBRD/Russia
Lending to micro and small enterprises,IFC/Georgia
Lending Program for Productive and Job Development in the Province of San Juan,IADB/Argentina
Lend $2.5 million to SMEs in the Karaganda region. The privatization of Ispat Karmet,IFC/Kazakhstan
Lempa-Acahuapa Agricultural Development,IADB/El Salvador
Lekki Toll Road Project,AFDB/Nigeria
Leisure Facility - Anna Regina,CDB/Guyana
Legler Polonia,EBRD/Poland
Legislative Reform for Protecting the Environment and Natural Resources,ASDB/China
Legislative Integration and Participation Network,IADB/Brazil
Legislation Drafting Support for the PRC Securities Law,ASDB/China
Legal System Development up to Year 2010 and Capacity Building for Secured Transactions Registration,ASDB/Viet Nam
Legal Support for Madhya Pradesh Power Sector Reform,ASDB/India
Legal Support for Human Rights  ,Chile/Guatemala
Regional Trade Facilitation Programme,EBRD/Azerbaijan
Regional Trade Facilitation Programme,EBRD/Moldova
Regional Trade Facilitation Programme,EBRD/Turkmenistan
Regional Trade Facilitation Programme,EBRD/Ukraine
Regional Trade Facilitation Programme,EBRD/Tajikistan
Regional Trade Facilitation Programme,EBRD/Azerbaijan
Regional Trade Facilitation Programme,EBRD/Georgia
Regional Trade Facilitation Programme,EBRD/Kyrgyz Republic
Regional Trade Facilitation Programme,EBRD/Bosnia-Herzegovina
Regional Trade Facilitation Programme,EBRD/Ukraine
Regional Trade Facilitation Programme,EBRD/Romania
Regional Trade Facilitation Programme,EBRD/Moldova
Regional Trade Facilitation Programme,EBRD/Bosnia-Herzegovina
Regional Trade Facilitation Programme,EBRD/Russia
Regional Trade Facilitation Programme,EBRD/Tajikistan
Regional Trade Facilitation Programme,EBRD/Uzbekistan
Regional Trade Facilitation Programme,EBRD/Bulgaria
Regional Trade Facilitation Programme,EBRD/Serbia and Montenegro
Regional Trade Facilitation Programme,EBRD/Kazakhstan
Regional Trade Facilitation Programme,EBRD/Azerbaijan
Regional Trade Facilitation Programme,EBRD/Armenia
Regional Trade Facilitation Programme,EBRD/Uzbekistan
Regional Trade Facilitation Programme,EBRD/Kyrgyz Republic
Regional Trade Facilitation Programme,EBRD/Kazakhstan
Regional Trade Facilitation Programme,EBRD/Armenia
Regional Trade Facilitation Programme,EBRD/Bosnia-Herzegovina
Regional Trade Facilitation Programme,EBRD/Georgia
Regional Trade Facilitation Programme,EBRD/Russia
Regional Trade Facilitation Programme,EBRD/Serbia and Montenegro
Regional Trade Facilitation Programme,EBRD/Ukraine
Regional Trade Facilitation Programme,EBRD/Kazakhstan
Regional Trade Facilitation Programme,EBRD/Belarus
Regional Trade Facilitation Programme,EBRD/Georgia
Regional Trade Facilitation,EBRD/Belarus
Regional Trade Facilitation,EBRD/Ukraine
Regional Trade Facilitation,EBRD/Armenia
Regional Trade Faciliation Programme,EBRD/Azerbaijan
Regional TFP: Vneshtorgbank Programme,EBRD/Russia
Regional TFP: Victoria Bank,EBRD/Moldova
Regional TFP: NBU ,EBRD/Uzbekistan
Regional TFP: International Bank of Azerbaijan,EBRD/Azerbaijan
Regional TFP: Halyk Savings Bank,EBRD/Kazakhstan
Regional TFP: Bank Turan Alem,EBRD/Kazakhstan
Regional TFP: Asaka Bank,EBRD/Uzbekistan
Regional TA to Support the OISCA-Sponsored Asia-Pacific Development Conference,ASDB/Global
Regional Symposium on Venture Capital Financing in Asian and Pacific Region,ASDB/Global
Regional Symposium on The Technological and Economic Cooperation in the Asia Pacific Region,ASDB/Global
Regional Study of Nutrition Trends,ASDB/Global
Regional Study of Nutrition Trends,ASDB/Global
Highway Betterment Project,IBRD/Indonesia
Highway Betterment and Maintenance Project (02),IBRD/Indonesia
Highway Bangui M'Baiki Road Project,IDA/Central African Rep.
Highway and Street Lighting,OPEC/Gambia
Highway and Rural Roads Program,IADB/Venezuela
Highway,ASDB/Thailand
High River Gold,EBRD/Russia
High Priority National Highways,ASDB/India
Highlands Water Engineering Project,IDA/Lesotho
Highlands Road Improvement,ASDB/Papua New Guinea
Highlands Rice Development,IFAD/Madagascar
Highlands Rice,IFAD/Madagascar
Highlands Rice,IFAD/Madagascar
Highlands Highway (Southern Highlands and Enga Provinces Network) Rehabilitation,ASDB/Papua New Guinea
Highland Natural Resources and Rural Income Enhancement Project,AFDF/Lesotho
Highland Livestock Development,ASDB/Bhutan
Highland Livestock Development,ASDB/Bhutan
Highland Livestock Development,ASDF/Bhutan
Highland Livestock Development,ASDB/Bhutan
Highland Flowers Limited will grow roses for export to Europe. The project will create 274 new jobs,IFC/Rwanda
Highland Agriculture Development (c1),IFAD/Philippines
Highland Agriculture Development,ASDB/Philippines
Highland Agricultural Development,ASDB/Philippines
High Institute for Halieutics and Fishing Technology,OPEC/Mauritania
Higher Secondary Education,ASDF/Bangladesh
Higher Secondary Education,ASDB/Bangladesh
Higher Secondary Education,ASDB/Bangladesh
Higher LevelDistance Education,IADB/Colombia
Higher Institute of Technology,OPEC/Tunisia
Higher Education Restructuring Project,IBRD/Tunisia
HIGHER EDUCATION PROJECT,IDA/Nepal
Higher Education Development Project (02),IBRD/Indonesia
Higher Education Development Project,IBRD/Indonesia
Higher Education Development,ASDB/Thailand
Higher Education Development,ASDB/Thailand
Higher Education,ASDB/Indonesia
Higher Education,IADB/Honduras
Higher Education,ASDF/Papua New Guinea
Second Uttar Pradesh Public Tubewells,IFAD/India
Second Urban Water Supply and Sanitation,ASDB/Pakistan
Second Urban Primary Health Care â€“ HIV/AIDS and Infectious Disease Control,ASDF/Bangladesh
Second Urban Primary Health Care Bridging Support,ASDB/Bangladesh
Second Urban Primary Health Care,ASDB/Bangladesh
Second Urban Primary Health Care,ASDF/Bangladesh
Second Urban Governance and Infrastructure Improvement (Sector),ASDB/Bangladesh
Second Urban Environmental Sanitation Project,NDF/Ghana
Second Urban Development (Supplementary),ASDB/Pakistan
Second Urban Development,OPEC/Ghana
Second Urban Development,ASDF/Pakistan
Second Urban Development,ASDB/Pakistan
Second Urban Development,OPEC/Djibouti
Second Tubewell,ASDF/Bangladesh
Second Tubewell,ASDB/Bangladesh
Second Tribhuvan International Airport (Second Supplementary Including Extension),ASDF/Nepal
Second Tribhuvan International Airport (Including Extension) (Supplementary),ASDF/Nepal
Second Tribhuvan International Airport,ASDF/Nepal
Second Trengganu Tengah Development,ASDB/Malaysia
Second Transport Sector Support Program (PAST II),CAF/Bolivia
Second Transport Sector Project,NDF/Senegal
Second Transport Sector,OPEC/Chad
Second Training Course on International Business Negotiation for Lusophone Countries,Brazil/Global
Second Tourism Infrastructure Development,ASDB/Nepal
Second Tourism Development,ASDB/Nepal
Second Textbook Development,ASDB/Uzbekistan
Second Textbook Development,ASDB/Uzbekistan
Second Telecommunications,ASDF/Samoa
Second Telecommunications,ASDB/Indonesia
Second Telecommunications,ASDF/Sri Lanka
Second Telecommunications,ASDB/Indonesia
Second Telecommunications,ASDB/India
Second Telecommunications,ASDB/China
Second Telecommunications,ASDB/China
Second Technician Education Project,IDA/India
Second Technical Education and Vocational Education,OPEC/Benin
Second Technical Education and Vocational Education,OPEC/Benin
Second Technical Education,ASDB/Sri Lanka
Second Technical Education,ASDB/Sri Lanka
Second Technical Education,ASDF/Sri Lanka
Second Technical and Vocational Education,ASDB/Philippines
Second Surabaya Institute of Technology,ASDB/Indonesia
Second Supplementary Loan-Chitwan Valley Development,ASDF/Nepal
Second Sulawesi Power,ASDB/Indonesia
Second Structural Adjustment Program (SAP ii),AFDF/Rwanda
Second Structural Adjustment Programme (SAP II),AFDF/Togo
Second Structural Adjustment Program,AFDF/Cameroon
Second Structural Adjustment Loan (SAP),AFDF/Gambia
Second Structural Adjustment Loan (SAL II),AFDF/Madagascar
Second Structural Adjustment Loan,AFDF/Ethiopia
Second State Roads Program for Ceara,IADB/Brazil
Second Social Investment Fund,OPEC/Guatemala
Second Social Action Program,ASDB/Pakistan
Second Small-Scale Water Resources Development Sector,ASDF/Bangladesh
Second Small-Scale Water Resources Development Sector,ASDB/Bangladesh
Second Small Rural Operations Project,IFAD/Senegal
Second Smallholder Cattle Development (c2),IFAD/Indonesia
Second Small Farmers Development,ASDB/Nepal
Second Small Farmer Development (c2),IFAD/Nepal
Second Small and Medium Industries,ASDF/Sri Lanka
Second Sindh Devolved Social Services Program,ASDB/Pakistan
Second Siguiri Rural Development Project,IFAD/Guinea
[Azerbaijan's health care needs of the investigation of health care procedures and personnel qualifications],Lithuania/Azerbaijan
Azerbaijan multi-bank framework: Mbank,EBRD/Azerbaijan
Azerbaijan Multi Bank Framework Financing Facility: Azerdemiryolbank,EBRD/Azerbaijan
Azerbaijan Multi Bank Framework Financing Facility,EBRD/Azerbaijan
Azerbaijan Multibank Framework Financing: Arkobank,EBRD/Azerbaijan
Azerbaijan Multi Bank Framework: Credit line,EBRD/Azerbaijan
Azerbaijan Multi-bank Framework,EBRD/Azerbaijan
Azerbaijan Multi-bank Framework,EBRD/Azerbaijan
Azerbaijan Multi-bank Framework,EBRD/Azerbaijan
Azerbaijan Microfinance Bank (AMB),EBRD/Azerbaijan
Azerbaijan Bank will establish a new joint venture bank to offer a full range of commercial banking services to corporate and retail clients.,IFC/Azerbaijan
Azerbaijan,Liechtenstein/Azerbaijan
Azdres Power Plant Upgrade,EBRD/Azerbaijan
AzDRES,EBRD/Azerbaijan
Ayvi S.A. de C.V.,IFC/Mexico
Ayun Irrigation Project,Kuwait/Viet Nam
Ayudhya Development Leasing Company LimiteduIFC subscribed to a rights issue for a FY96-approved project to provide leasing services to SMEs.,IFC/Thailand
Ayub Medical College and Hospital Complex Protect,OPEC/Pakistan
Ayoun Moussa Power Project,AFDF/Egypt
Ayoun Moussa Power Project,AFDB/Egypt
Ayos-Bonis Road Project,BADEA/Cameroon
 road vehicles, traffic safety requirements/24
Ayos - Bonis Road,Saudi Arabia/Cameroon
Ayos-Abong Wang Road Project,Kuwait/Cameroon
Ayangba Agricultural Development Project,IBRD/Nigeria
Axon Rt.,IFC/Hungary
Axis of Prevention and Control of Malaria in Mesoamerica,GFATM/Nicaragua
A World Trade Organisation (WTO) oriented training seminar for Uzbekistan civil servants.,Estonia/Uzbekistan
Awash River Basin Flood Control and Watershed Management Study,AFDF/Ethiopia
Awash Basin Water Resources Study,AFDF/Ethiopia
Awareness and Prevention of Human Immunodeficiency Virus (HIV)/Acquired Immuno Deficiency Syndrome,ASDB/Kyrgyz Republic
Awareness and Prevention of HIV/AIDS and Human Trafficking,ASDB/Mongolia
Avtobank - Credit Line/Equity Investment,EBRD/Russia
Avtobank,EBRD/Russia
A Volunteer Program for Natural Resources and Environmental Conservation,ASDB/Thailand
A voluntary donation to support the UN High Commissioner of Refugees (UNHCR) for easing the refugee situation in Afghanistan.,Estonia/Afghanistan
Aviation Project - Technical Assistance - UNDP,IDA/Afghanistan
Aviation Development Project,IBRD/Bolivia
Aviation Development Project,IBRD/Colombia
Aviation Development Project,IBRD/Peru
Avantex Mill Corporation,ASDB/Philippines
Avalon Professional Web Trade Pte. Ltd.,IFC/Philippines
Avalon Professional Web Trade,IFC/Philippines
Avallon,EBRD/Poland
AVAL Bank SME II,EBRD/Ukraine
Aval Bank â€“ mortgage loan,EBRD/Ukraine
Autoplex System,United States/Philippines
Auto Piston Manufacturing Equipment for Moskvich Auto Factory,United States/Soviet Union
Automotlve Transportation Study,IADB/Dominican Republic
Automotive parts,IFC/Mexico
Automotive parts,IFC/Mexico
Automotive parts,IFC/Mexico
Automotive Painting Equipment,United States/Russia
Automotive Components Manufacturing,ASDB/Pakistan
Automotive components,IFC/India
Automotive,IFC/India
Automotive,IFC/India
Automotive,IFC/Turkey
Automotive,IFC/Sts Ex-Yugo. Unspec.
Automotive,IFC/Turkey
Automobile Manufacturing,IFC/India
Automobile manufacturing,IFC/Pakistan
automation and control systems,United States/Argentina
Automatic Weather Stations Network,Slovakia/Bosnia-Herzegovina
Automatic Fare Collection System,United States/China
Automatic Fare Card System,United States/Singapore
Automatic Branch Telephone Exchanges,United States/Costa Rica
Automated packager-cubers equipment,United States/Russia
Auto-Conversion and Modernization of Telecommunications Network,AFDB/Swaziland
Autocesta Rljeka-Zagreb,EBRD/Croatia
Development of Industrial Fishing,BADEA/Cape Verde
Development of Industrial Districts,IADB/Brazil
Development of Industrial Centers,ASDB/Papua New Guinea
Development of Hurghada International Airport,AFESD/Egypt
Development of Human Resources,IADB/Guyana
Development of Honiara Port Proiect,ASDB/Solomon Islands
Development of High-Tech Youth Training Centers,IADB/Trinidad & Tobago
Development of High Density Corridors under the Public-Private Partnership,ASDB/India
Development of Health Services,AFESD/Palestinian Adm. Areas
Development of Health Services,AFDF/Lesotho
Development of Health Networks (Phase I),IADB/Nicaragua
Development of Health Networks (Phase I),IADB/Nicaragua
Development of Handicraft,IADB/Haiti
DEVELOPMENT OF GREEN SPACES,Monaco/Tunisia
Development of Georgian Police Training,Estonia/Georgia
Development of gas fields. Ibal,United Arab Emirates/Oman
Development of Functional Vegetables ,Chile/Cuba
development of freshwater fish breeding,Hungary/Viet Nam
development of freshwater fish breeding,Hungary/Iraq
development of freshwater fish breeding,Hungary/Laos
Development of food and cash crops,BADEA/Central African Rep.
Development of Fish Resources,Kuwait/Mauritania
Development of Fishing Resources and Sewerage Purification,Kuwait/Malta
Development of Fishing Resources,Kuwait/Maldives
Development of Fishing,BADEA/Chad
Development of Fisheries Resources in Silingi Lake,BADEA/Mali
Development of Federal Universities,IADB/Brazil
Development of farming marketing organizations in Ukraine,Poland/Ukraine
Development of Environmental Institutions,IADB/Argentina
development of enterprise networks in Ukraine,Hungary/Ukraine
Development of Education,Saudi Arabia/Senegal
Development of Education,Saudi Arabia/Djibouti
Development of Economic Laws,ASDB/China
Development of Djibouti Port (Phase IV),Saudi Arabia/Djibouti
Development of Djibouti Port,Saudi Arabia/Djibouti
Development of diagnostic and interventional cardiology in Nouakchott Hospital,Monaco/Mauritania
Development of Cottage Industries,IADB/Barbados
Development of Competitive Advantages,IADB/Dominican Republic
Development of community philanthropy for NGO sustainability in Moldova.,Latvia/Moldova
Development of Community Based Micro Hydropower Supply in Remote Rural Areas,ASDB/Tajikistan
Development of communities and local self-government entities in the Republic of Moldova,Poland/Moldova
development of communal services and settlement operations in Serbia,Hungary/Serbia and Montenegro
Development of Commercial Bank Linkages to Micro and Small Enterprises,ASDB/Laos
Development of Cocoa Production on Bioko Island,BADEA/Equatorial Guinea
development of civil society committed to helping addiction in Serbia,Hungary/Serbia and Montenegro
Development of Civil Protection Capabilities in the Republic of Armenia,Estonia/Armenia
Development of Civil Protection Capabilities in the Republic of Armenia,Estonia/Armenia
Development of Civil Protection Capabilities in the Republic of Armenia,Estonia/Armenia
Development of Civil Institutions (NGOs) in Moldova.,Latvia/Moldova
